affix,stem,derived_word,ST
re-,address,readdress,5.14
re-,affirm,reaffirm,6.14
-able,realize,realizable,6.14
-ize,real,realize,3.43
re-,animate,reanimate,5.43
re-,appear,reappear,4.57
re-,arm,rearm,5
-ment,rearm,rearmament,6
re-,arrange,rearrange,5.86
-ment,rearrange,rearrangement,6
-ness,reasonable,reasonableness,6.57
re-,bind,rebind,5.86
re-,call,recall,4
re-,capture,recapture,4.71
re-,cast,recast,5.14
re-,claim,reclaim,5.57
re-,coil,recoil,4.43
re-,collect,recollect,5.57
-able,reconcile,reconcilable,6.14
re-,constitute,reconstitute,6.29
re-,curve,recurve,6
re-,cycle,recycle,3.14
re-,direct,redirect,5.29
re-,distribute,redistribute,5.71
re-,flux,reflux,3.14
re-,forest,reforest,5.71
re-,fuel,refuel,5
re-,gain,regain,6.43
re-,generate,regenerate,5.29
re-,hear,rehear,5.57
re-,kindle,rekindle,4.57
-ic,relativity,relativistic,6.57
re-,locate,relocate,4.71
-er,remain,remainder,6.43
re-,make,remake,5
re-,marry,remarry,5.86
re-,name,rename,4.71
-able,rent,rentable,6.29
re-,orient,reorient,5.57
re-,paint,repaint,5.57
-able,repair,repairable,6.43
re-,pay,repay,6.43
-ment,replace,replacement,6.29
re-,possess,repossess,4
-ion,repress,repression,6.43
re-,print,reprint,5.57
-ful,reproach,reproachful,6.29
-able,repute,reputable,5.43
-ment,require,requirement,6.29
re-,run,rerun,5.14
re-,search,research,4.86
re-,seat,reseat,4.86
-ist,reserve,reservist,6
re-,settle,resettle,6.29
-ous,resin,resinous,6.43
-less,resist,resistless,3.71
-ful,resource,resourceful,6.29
-able,respect,respectable,6.43
-ful,respect,respectful,6
re-,stock,restock,5.86
re-,structure,restructure,5.29
-er,retail,retailer,6.43
re-,take,retake,4.57
-ion,retain,retention,6.14
-ment,retire,retirement,5.71
re-,tool,retool,5
re-,trace,retrace,6.14
re-,use,reuse,6.14
re-,value,revalue,6.43
re-,vamp,revamp,2.86
-er,revise,reviser,6
re-,vitalize,revitalize,5.86
-al,revive,revival,6.43
re-,vivify,revivify,6
